name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
seoul,2018-01-13,31.1,20,24.4,31.1,12.6,21.5,14.7,67,0.015,100,8.33,"rain,snow",0,0.1,11.4,6.8,147.7,1032.3,79.3,5.1,82.8,7.1,4,,2018-01-13T07:46:26,2018-01-13T17:34:53,0.87,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,snow,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-01-14,41.8,21.2,31.9,40.4,13.4,28.5,22,67.8,0.007,100,4.17,rain,0,0,23.3,10.2,167.1,1029.8,74.8,4.1,100.7,8.6,4,,2018-01-14T07:46:11,2018-01-14T17:35:54,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"47111099999,47098099999,47112099999,47119099999,47127043216,47099099999,47108099999,RKSS"
seoul,2018-01-15,45.6,32.4,39.9,43.9,29.5,37.5,27.7,63.1,0.008,100,4.17,rain,0,0,17.9,7.8,267.8,1023.9,76.6,4.4,118.1,10.1,5,,2018-01-15T07:45:53,2018-01-15T17:36:55,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-01-16,44.3,27.9,36.8,44.3,27.9,36.4,26.2,66.3,0,0,0,,0,0.1,8.7,5.4,351.6,1019,90.6,2.4,51,4.3,2,,2018-01-16T07:45:34,2018-01-16T17:37:57,0.97,Overcast,Cloudy skies throughout the day.,cloudy,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47108099999,RKSS"
seoul,2018-01-17,47.4,33.1,38.9,47.4,29.5,37.7,29.4,69,0.007,100,12.5,"rain,snow",0,0,19,11.3,291.1,1017.9,74.2,2.3,97.8,8.5,4,,2018-01-17T07:45:12,2018-01-17T17:39:00,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-01-18,40.5,32.1,35.8,36.6,29.7,33,23.9,64.2,0,0,0,,0,0,20.1,9.5,306.9,1023.3,88,3.8,125,10.8,5,,2018-01-18T07:44:49,2018-01-18T17:40:03,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-01-19,42,24.9,33.4,38.6,24.9,31.8,14,46,0,0,0,,0,0,17.9,8.1,305.5,1024.7,46.8,7.3,135.4,11.8,6,,2018-01-19T07:44:24,2018-01-19T17:41:07,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-01-20,43.8,25.7,34.8,40.1,20.2,31.4,23,62.4,0,0,0,,0,0,19.7,8.1,236.5,1022.9,47.6,4.9,96.3,8.3,4,,2018-01-20T07:43:56,2018-01-20T17:42:12,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-01-21,42,21.5,31.2,39.3,18.7,29.7,11.8,48.4,0,0,0,,0,0,13,5,321.7,1023.9,15.2,6,138.2,11.9,6,,2018-01-21T07:43:27,2018-01-21T17:43:16,0.14,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-01-22,41.1,26.1,33,39.4,14.2,29.6,18.8,58.7,0.126,100,8.33,"rain,snow",0,0.2,23.9,14.5,287.8,1016.4,91.1,6.1,92.2,7.9,5,,2018-01-22T07:42:56,2018-01-22T17:44:21,0.17,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,rain,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-01-23,23.4,8.5,13.6,13.3,-7.3,1.2,-3.9,45.9,0.124,100,4.17,snow,0,0.8,30,16.4,311.3,1023.8,20.2,8.1,146.3,12.6,6,,2018-01-23T07:42:23,2018-01-23T17:45:27,0.21,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-01-24,13.3,3.9,8,0.9,-11.5,-5.4,-15.8,32.2,0,0,0,,0,0.7,33.6,15.5,323.6,1029.5,3.5,8.3,150.9,13.2,6,,2018-01-24T07:41:48,2018-01-24T17:46:33,0.24,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-01-25,15,3.1,8,3.6,-11.1,-4.6,-14.9,33.8,0,0,0,,0,0.5,29.3,12.7,322,1030.7,38.4,8.3,149.4,13,6,,2018-01-25T07:41:11,2018-01-25T17:47:39,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-01-26,11.7,0.8,6.4,6.9,-13.7,-5,-15.7,34.8,0,0,0,,0,0.3,25.9,13.8,320.7,1030.2,0,8.2,154.9,13.2,6,,2018-01-26T07:40:32,2018-01-26T17:48:45,0.31,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47108099999,RKSS"
seoul,2018-01-27,25.4,3.1,13.2,19.8,-5.1,9.8,-6.5,42.2,0,0,0,,0,0.3,15.2,6.5,327,1029.7,17.3,7.9,152.4,13.2,6,,2018-01-27T07:39:52,2018-01-27T17:49:52,0.35,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-01-28,31.2,17.3,22.4,25.2,7.6,16.5,-0.8,36.6,0,0,0,,0,0.2,28.6,12.2,301.3,1023.2,48.5,8.2,141,12.2,6,,2018-01-28T07:39:09,2018-01-28T17:50:58,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47108099999,RKSS"
seoul,2018-01-29,24,12.5,17.6,15.7,3.2,9.5,-4.5,38,0,0,0,,0,0.1,29.1,17.2,311.6,1024,9,8.3,148.7,12.7,6,,2018-01-29T07:38:25,2018-01-29T17:52:05,0.42,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-01-30,30.5,8.6,21.2,28.2,7.4,18,8.6,60.2,0.109,100,8.33,"rain,snow",0,0.1,31.5,7.4,207.6,1026,49.8,6.6,133.4,11.4,6,,2018-01-30T07:37:40,2018-01-30T17:53:12,0.45,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain or snow.,snow,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-01-31,32.4,21.1,28.5,29.1,21.1,25.3,13.6,56.3,0.115,100,4.17,snow,0,0.2,16.8,8.6,287.8,1027.4,83.6,7.4,105.9,9.2,4,,2018-01-31T07:36:52,2018-01-31T17:54:19,0.5,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,rain,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47108099999,RKSS"
seoul,2018-02-01,34.8,14.1,24.3,29.7,14.1,21.2,6,48.2,0,0,0,,0,0.1,17.4,7.3,321.8,1029.4,0,8.1,159,13.8,6,,2018-02-01T07:36:03,2018-02-01T17:55:25,0.52,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-02-02,38.6,15.7,26.2,34.5,11.5,24.4,9.9,52.8,0,0,0,,0,0,17.4,6.8,308.4,1028.9,18.8,7.6,158.9,13.8,6,,2018-02-02T07:35:13,2018-02-02T17:56:32,0.55,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-02-03,27.6,15.4,20.9,22.7,5.2,11.1,4.1,49.4,0.004,100,4.17,snow,0,0.1,32.7,13.6,298.8,1028.3,34.5,7.5,161.7,13.9,6,,2018-02-03T07:34:20,2018-02-03T17:57:39,0.58,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-02-04,22.2,10,15.9,12.5,-2.2,6.4,-4.4,40.7,0.002,100,4.17,snow,0,0.1,28.6,10.8,305.6,1028.7,7.2,7.9,165.5,14.2,6,,2018-02-04T07:33:26,2018-02-04T17:58:46,0.62,Snow,Clear conditions throughout the day with late afternoon snow.,snow,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-02-05,23,11.1,16.1,13.3,2.8,6.8,-6.1,37.7,0,0,0,,0,0,31.8,14.2,305.3,1026.8,3,8.3,167.8,14.4,6,,2018-02-05T07:32:31,2018-02-05T17:59:52,0.65,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-02-06,22.2,9.7,15.1,12.9,-1.8,4.8,-7.4,35.8,0,0,0,,0,0,27.7,10.3,296,1025.6,12,8.2,168.9,14.7,7,,2018-02-06T07:31:34,2018-02-06T18:00:59,0.68,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-02-07,28.6,5.2,16.8,24.6,3.4,13.8,-3.5,42.6,0,0,0,,0,0,19.5,6.7,309.1,1026.9,21.2,8,166.5,14.3,6,,2018-02-07T07:30:36,2018-02-07T18:02:05,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47099099999,47108099999,RKSS"
seoul,2018-02-08,34.8,11.4,22.6,31.2,11.4,21.6,5.3,49.9,0,0,0,,0,0,13.9,4.9,332.9,1025.3,9.3,7.7,170.9,14.8,7,,2018-02-08T07:29:36,2018-02-08T18:03:11,0.75,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-02-09,42.9,17.9,31.2,42.1,17.9,30.4,12.7,48.2,0,0,0,,0,0,21.5,10.3,240,1023.1,79.5,6.5,130.2,11.3,5,,2018-02-09T07:28:34,2018-02-09T18:04:17,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-02-10,39.4,21.3,32.4,35.5,12.2,26.5,12.8,49.6,0,0,0,,0,0,30.6,14.9,299.1,1021.6,76.1,5.4,143.3,12.4,6,,2018-02-10T07:27:32,2018-02-10T18:05:23,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47099099999,47108099999,RKSS"
seoul,2018-02-11,27.7,14.4,21.6,20.8,11,15.1,0.9,41.4,0.038,100,8.33,snow,0,0,31.5,12.5,286.3,1022.7,42.9,8.1,150.1,12.9,6,,2018-02-11T07:26:28,2018-02-11T18:06:29,0.84,"Snow, Partially cloudy",Becoming cloudy in the afternoon with late afternoon snow.,snow,"47111099999,47098099999,47112099999,47119099999,47127043216,47099099999,47108099999,RKSS"
seoul,2018-02-12,28.6,12,21.5,20.2,7.1,14.6,1.8,43.1,0.003,100,8.33,snow,0,0,33.6,13.5,285.2,1022.4,40.6,8,156.3,13.5,6,,2018-02-12T07:25:22,2018-02-12T18:07:34,0.88,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-02-13,40.2,14.8,28.9,33,14.8,24.4,15.7,59.3,0.002,100,4.17,snow,0,0,32.7,13.9,210.1,1022.3,35,8.1,167.7,14.6,6,,2018-02-13T07:24:16,2018-02-13T18:08:39,0.91,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,rain,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47108099999,RKSS"
seoul,2018-02-14,48.4,28.4,38.8,43.6,20.7,33.4,22.5,53.5,0,0,0,,0,0,37.6,14.5,222.1,1017.1,68.5,7,152.4,13.1,6,,2018-02-14T07:23:08,2018-02-14T18:09:44,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-02-15,38.7,24.9,31.4,33.4,18.1,26.1,2.8,30.5,0,0,0,,0,0,21.7,8.5,318.8,1022.4,55.4,8.2,182.5,15.8,7,,2018-02-15T07:21:59,2018-02-15T18:10:48,0.98,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-02-16,40.2,18.5,29.7,36,18.5,26.5,9.3,44.6,0,0,0,,0,0,24.4,11.2,282.7,1019.3,44.2,8.1,174.1,15.1,7,,2018-02-16T07:20:49,2018-02-16T18:11:52,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-02-17,34.7,20.7,27.5,27.5,13,20.6,-1.9,29,0,0,0,,0,0,28,13.3,296.9,1024.6,23.3,8.2,189.1,16.1,7,,2018-02-17T07:19:37,2018-02-17T18:12:56,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-02-18,41.1,22.2,30.4,38.2,20.1,28.7,2.2,31.2,0,0,0,,0,0,15.7,6.6,323,1026.6,79.3,8.3,149,12.9,6,,2018-02-18T07:18:25,2018-02-18T18:14:00,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-02-19,44.7,23.8,34,41.4,20.1,32.2,16.7,50.1,0,0,0,,0,0,15.2,6.6,306.8,1024.6,69.4,6.7,130.8,11.5,5,,2018-02-19T07:17:11,2018-02-19T18:15:03,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-02-20,42.2,23.3,33.1,36.9,23.3,29.6,11.7,48.7,0,0,0,,0,0,21.3,11.3,311.8,1023.6,46.3,5.6,170.9,14.7,6,,2018-02-20T07:15:57,2018-02-20T18:16:06,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-02-21,39.5,22.1,31.4,35.1,16.7,27.1,2.5,31.1,0,0,0,,0,0,22.1,9.6,307.4,1024.5,34.4,8.4,176,15.2,6,,2018-02-21T07:14:41,2018-02-21T18:17:08,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47108099999"
seoul,2018-02-22,43,22.6,33.5,37.4,15.4,29,19.9,58,0,0,0,,0,0,33.6,12.7,217.4,1022.3,55.4,7.4,176.7,15.1,6,,2018-02-22T07:13:24,2018-02-22T18:18:11,0.22,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47108099999,RKSS"
seoul,2018-02-23,48.5,27.2,39.4,46.8,27.2,36.3,32.8,78.2,0.157,100,8.33,"rain,snow",0,0.3,33.1,12.7,228.4,1020.6,73.4,2,182.7,15.9,7,,2018-02-23T07:12:07,2018-02-23T18:19:13,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-02-24,44,30.4,36.9,40.5,26.3,33.5,19.9,54.6,0,0,0,,0,0,15.7,8.3,304.1,1027.3,72.4,4.9,180.1,15.6,7,,2018-02-24T07:10:48,2018-02-24T18:20:14,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-02-25,45.6,28.6,35.2,42.4,27.1,33.5,14.1,43.8,0,0,0,,0,0,16.3,7.6,310.6,1025.7,38.4,7.6,201.8,17.4,7,,2018-02-25T07:09:29,2018-02-25T18:21:16,0.33,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-02-26,50.2,23.7,35.8,50.2,23.7,35.1,17.4,51,0,0,0,,0,0,13.6,6.9,261.3,1025,12.9,6.9,203.7,17.6,7,,2018-02-26T07:08:09,2018-02-26T18:22:16,0.36,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-02-27,45.7,26.5,38.2,45.7,22.7,37.5,22.5,54,0,0,0,,0,0,17.9,4.3,274.8,1023.6,79.9,5.2,124.3,10.7,5,,2018-02-27T07:06:48,2018-02-27T18:23:17,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-02-28,46.4,35.7,39.6,44.7,29.4,36.9,31.2,73,0.895,100,20.83,rain,0,0.1,26.6,10.1,33.8,1012.3,96.5,3.6,39.3,3.4,2,,2018-02-28T07:05:26,2018-02-28T18:24:17,0.43,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-03-01,38.4,26.8,33.7,35.8,18.3,26.3,22.2,65,0.964,100,12.5,"rain,snow",0.2,0.3,39.8,18.6,294.8,1010.6,56.1,5.8,199.6,17.1,8,,2018-03-01T07:04:03,2018-03-01T18:25:17,0.47,"Snow, Rain, Partially cloudy",Clearing in the afternoon with rain or snow.,snow,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-03-02,41.2,20.6,30.5,41.2,15.9,28.2,8.2,40.8,0,0,0,,0,0.1,20.8,7.8,298.1,1018.9,12.8,7.6,214.6,18.6,8,,2018-03-02T07:02:40,2018-03-02T18:26:17,0.5,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-03-03,61,31.1,44.9,61,31.1,44.5,19.3,39.8,0,0,0,,0,0,18.3,11.6,204.6,1014.6,45.5,7.9,208.4,18.1,7,,2018-03-03T07:01:16,2018-03-03T18:27:16,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-03-04,54,45.8,49.7,54,42.4,49.3,45.8,86.8,0.04,100,20.83,rain,0,0,35.1,13.5,11.3,1014,98.8,3,55.1,4.7,3,,2018-03-04T06:59:52,2018-03-04T18:28:15,0.57,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-03-05,50.2,36.6,43,50.2,32.4,38.6,32.7,68.3,0.601,100,29.17,rain,0,0,36.5,13.4,27.4,1017.1,65.7,7.4,166.2,14.2,7,,2018-03-05T06:58:26,2018-03-05T18:29:14,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-03-06,50.3,27.6,38.9,50.3,27.6,37.5,22,55,0,0,0,,0,0,15,8.1,327.3,1029.4,22,7.9,217,18.7,7,,2018-03-06T06:57:01,2018-03-06T18:30:13,0.63,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-03-07,51,32.1,42.7,51,31.2,40.2,26.9,54.8,0.013,100,8.33,rain,0,0,23,13.8,134.9,1028.2,84.2,8,136.1,11.9,6,,2018-03-07T06:55:34,2018-03-07T18:31:11,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-03-08,48.5,36.7,40.6,45.2,31.3,37.2,33.9,77.5,0.141,100,33.33,rain,0.2,0.1,23.3,11,332.5,1020.4,85.6,4.7,109.2,9.3,4,,2018-03-08T06:54:08,2018-03-08T18:32:09,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-03-09,47.4,34.1,40.2,46.5,33.3,38.8,29.5,66.4,0,0,0,,0,0,13.9,7.9,278,1023.2,67.9,5.4,151.3,13,6,,2018-03-09T06:52:40,2018-03-09T18:33:06,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
seoul,2018-03-10,48.6,30.3,39.5,44.9,27.3,37,28.7,67.1,0,0,0,,0,0,24.2,10.4,239.8,1024.3,41.4,5.5,217.1,18.5,8,,2018-03-10T06:51:13,2018-03-10T18:34:04,0.76,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
